combination,stable_state_count,causes_arrest,model
ERBB1=OFF + ERBB2=OFF,4,False,Original
ERBB1=OFF + ERBB2=OFF + ERBB3=OFF,2,False,Original
AKT1=OFF + MEK1=OFF,2,True,Original
ERBB2=OFF + AKT1=OFF,3,False,Original
ERBB2=OFF + MEK1=OFF,3,False,Original
c_MYC=OFF + Cyclin_D1=OFF,3,True,Original
p21=ON + p27=ON,3,True,Original
ERBB2=OFF + AKT1=OFF + MEK1=OFF,2,True,Original
ER_alpha=OFF + c_MYC=OFF + AKT1=OFF,2,False,Original
ERBB1=OFF + ERBB2=OFF,7,False,Refined
ERBB1=OFF + ERBB2=OFF + ERBB3=OFF,4,False,Refined
AKT1=OFF + MEK1=OFF,2,True,Refined
ERBB2=OFF + AKT1=OFF,2,True,Refined
ERBB2=OFF + MEK1=OFF,3,True,Refined
c_MYC=OFF + Cyclin_D1=OFF,6,True,Refined
p21=ON + p27=ON,5,True,Refined
ERBB2=OFF + AKT1=OFF + MEK1=OFF,2,True,Refined
ER_alpha=OFF + c_MYC=OFF + AKT1=OFF,2,True,Refined
